name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
aag,1994,139,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,govinda,shilpa shetty kundra,sonali bendre
aag aur chingari,1994,133,Action,4.1,13,Kanti Shah,alpana,aparajita,asrani
aag hi aag,1987,170,Action,5.3,93,Shibu Mitra,dharmendra,shatrughan sinha,moushumi chatterjee
aag ka gola,1990,180,"Action, Drama",4.8,101,David Dhawan,sunny deol,dimple kapadia,archana puran singh
aag ka toofaan,1993,137,Action,4.8,21,Kanti Shah,dharmendra,sadashiv amrapurkar,asrani
aag ke sholay,1988,138,"Action, Thriller",3.4,7,S.R. Pratap,bipasha,hemant birje,sudhir dalvi
aag se khelenge,1989,151,Action,5.0,52,Subhash Ghai,bhaskar shetty,jeetendra,anil kapoor
aage maut peeche maut,2001,78,Horror,3.1,7,A.T. Joy,lekha pande,vimal raj,shakila
aagey se right,2009,117,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,shreyas talpade,mahie gill,karan veer mehra
aaghaaz,2000,153,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,sunil shetty,sushmita sen,namrata shirodkar
aah,1953,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,nargis,raj kapoor,vijayalaxmi
aahuti,1978,135,"Action, Drama",6.0,25,Ashok V. Bhushan,rajendra kumar,shashi kapoor,rakesh roshan
aaina,1993,149,"Drama, Romance",6.0,448,Deepak Sareen,jackie shroff,juhi chawla,amrita singh
aaina,1977,150,Drama,6.8,94,K. Balachander,mumtaz,rajesh khanna,a.k. hangal
aaj,1987,116,Drama,5.5,281,Mahesh Bhatt,raj babbar,smita patil,raj kiran
aaj aur kal,1963,144,"Drama, Romance",5.6,52,Vasant Joglekar,ashok kumar,sunil dutt,nanda
aaj ka andha kanoon,2003,46,Action,3.1,15,Amit Chandra Sahay,sudesh berry,priyanka upendra,aman jalali
aaj ka arjun,1990,164,"Action, Crime, Drama",4.7,586,K.C. Bokadia,amitabh bachchan,jaya prada,radhika sarathkumar
aaj ka daur,1985,153,"Action, Drama",5.1,40,K. Bapaiah,jackie shroff,padmini kolhapure,nirupa roy
aaj ka goonda raaj,1992,147,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,chiranjeevi,meenakshi sheshadri,raj babbar
aaj ka mahaatma,1976,170,"Action, Romance",3.5,23,Kundan Kumar,randhir kapoor,rekha,ranjeet
aaj ka ravan,2000,128,"Action, Crime",4.3,31,Kasam Ali,mithun chakraborty,gajendra chauhan,siddharth dhawan
aaj ka samson,1991,123,"Action, Romance",3.1,14,Kukoo Kapoor,hemant birje,sahila chaddha,goga kapoor
aaj kaa m.l.a. ram avtar,1984,157,"Action, Drama",5.8,65,Narayana Rao Dasari,rajesh khanna,shabana azmi,deven verma
aaj ke angaarey,1988,128,"Action, Drama",5.0,26,Babbar Subhash,vinod k. verma,hemant birje,archana puran singh
aaj ke shahenshah,1990,132,Action,3.3,15,Shibu Mitra,jeetendra,raj babbar,chunky panday
aaj ki awaz,1984,137,"Action, Drama, Crime",5.6,79,Ravi Chopra,raj babbar,smita patil,rashmi chauhan
aaja meri jaan,1993,162,Romance,4.4,30,Ketan Anand,krishan kumar,tanya singh,shammi kapoor
aaja nachle,2007,137,"Drama, Family, Music",6.2,2998,Anil Mehta,madhuri dixit,darshan jariwala,raghuvir yadav
aaja sanam,1968,121,"Drama, Romance",6.7,14,Yusuf Naqvi,feroz khan,tanuja,deven verma
aakhree raasta,1986,164,"Action, Crime, Drama",7.1,1283,Bhagyaraj,amitabh bachchan,sridevi,jaya prada
aakhri adaalat,1988,148,"Action, Thriller",5.2,78,Rajiv Mehra,vinod khanna,dimple kapadia,jackie shroff
aakhri baazi,1989,149,"Action, Drama, Family",4.1,53,Ashim S. Samanta,shatrughan sinha,moushumi chatterjee,govinda
aakhri badla,1989,120,"Action, Crime, Drama",5.0,21,Mangal Chakravarty,tom alter,yogeeta bali,abhi bhattacharya
aakhri ghulam,1989,171,"Action, Crime, Drama",4.9,34,Shibu Mitra,mithun chakraborty,sonam,anupam kher
aakhri kasam,1979,126,"Action, Thriller",6.3,7,Dinesh-Ramanesh,ramesh puri,vinod mehra,yogeeta bali
aakhri khat,1966,153,Drama,6.9,122,Chetan Anand,rajesh khanna,indrani mukherjee,master bunty
aakhri sangam,1990,160,"Action, Romance",7.3,39,N.K. Vishwanathan,nassar,nirosha,aurn pandian
aakhri sanghursh,1997,138,Action,2.8,17,Narendra Bedi,vijayendra ghatge,kaajal kiran,mukesh khanna
aakraman,1975,139,"Drama, History, Romance",6.3,44,J. Om Prakash,ashok kumar,sanjeev kumar,rakesh roshan
aakrosh,1980,144,"Crime, Drama, Music",7.9,887,Govind Nihalani,naseeruddin shah,smita patil,amrish puri
aakrosh,2010,115,"Action, Crime, Thriller",7.0,3464,Priyadarshan,ajay devgn,akshaye khanna,bipasha basu
aalaap,2012,116,Sci-Fi,5.4,26,Manish Manikpuri,omkar das manikpuri,pitobash,amit purohit
aalavandhan,2001,177,"Action, Thriller",7.2,2192,Suresh Krishna,kamal haasan,raveena tandon,manisha koirala
aalwar,2007,152,Action,3.0,922,Chella,ajith kumar,asin thottumkal,vivek
aamaar bhuvan,2018,107,"Drama, Family",7.7,72,Mrinal Sen,saswata chatterjee,nandita das,koushik sen
aamdani atthanni kharcha rupaiya,2001,150,"Comedy, Drama, Family",4.8,1238,K. Raghavendra Rao,a.s. ravindra babu,govinda,juhi chawla
aamir,2008,99,"Action, Crime, Drama",7.7,10862,Raj Kumar Gupta,rajeev khandelwal,aishwarya,vasan bala
aamne - saamne,1967,163,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,shashi kapoor,sharmila tagore,prem chopra
aamne samne,1982,143,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,mithun chakraborty,bindiya goswami,arti gupta
aan aur shaan,1984,130,Drama,6.4,37,Ravi Tandon,rishi kapoor,moushumi chatterjee,shammi kapoor
aan milo sajna,1970,177,"Drama, Musical, Romance",6.4,211,Mukul Dutt,rajesh khanna,asha parekh,vinod khanna
aan: men at work,2004,149,"Action, Crime, Drama",5.7,2907,Madhur Bhandarkar,akshay kumar,shatrughan sinha,sunil shetty
aanch,2003,160,Drama,5.6,102,Rajesh Ram Singh,arun bakshi,suchindra bali,poonam jhawer
aanchal,1980,138,"Action, Drama, Family",6.4,58,Anil Ganguly,rajesh khanna,rakhee gulzar,rekha
aandhi,1975,133,"Drama, Romance",8.1,1406,Gulzar,suchitra sen,sanjeev kumar,om shivpuri
aandhi-toofan,1985,144,Drama,6.1,49,Babbar Subhash,shashi kapoor,hema malini,danny denzongpa
aandhiyan,1952,136,Drama,7.4,30,Chetan Anand,dev anand,nimmi,kalpana kartik
